S6: N=20, L=20, pop=60
S821: N=20, L=20, pop=60
S822: N=20, L=20, pop=60
S827: N=20, L=20, pop=60
S828: N=20, L=20, pop=60
S830: N=20, L=20, pop=60
S837: N=20, L=20, pop=60
S843: N=20, L=20, pop=60
S849: N=20, L=20, pop=60
S854: N=20, L=20, pop=60
S855: N=20, L=20, pop=60
S856: N=20, L=20, pop=60
S863: N=20, L=20, pop=60
S865: N=20, L=20, pop=60
S869: N=20, L=20, pop=60
S875: N=20, L=20, pop=60
S883: N=20, L=20, pop=60
S890: N=20, L=20, pop=60
S898: N=20, L=20, pop=60
S901: N=20, L=20, pop=60
S906: N=20, L=20, pop=60
S910: N=20, L=20, pop=60
S915: N=20, L=20, pop=60
S916: N=20, L=20, pop=60
S922: N=20, L=20, pop=60
S930: N=20, L=20, pop=60
S936: N=20, L=20, pop=60
S943: N=20, L=20, pop=60
S947: N=20, L=20, pop=60
S950: N=20, L=20, pop=60
S953: N=20, L=20, pop=60
S958: N=20, L=20, pop=60
S965: N=20, L=20, pop=60
S975: N=20, L=20, pop=60
S980: N=20, L=20, pop=60
S981: N=20, L=20, pop=60
S984: N=20, L=20, pop=60
S985: N=20, L=20, pop=60
S990: N=20, L=20, pop=60
S1000: N=20, L=20, pop=60
S1008: N=20, L=20, pop=60
S1010: N=20, L=20, pop=60
S1012: N=20, L=20, pop=60
S1018: N=20, L=20, pop=60
S1025: N=20, L=20, pop=60
S1028: N=20, L=20, pop=60
S1029: N=20, L=20, pop=60
S1039: N=20, L=20, pop=60
S1040: N=20, L=20, pop=60
S1041: N=20, L=20, pop=60
S1048: N=20, L=20, pop=60
S1049: N=20, L=20, pop=60
S1050: N=20, L=20, pop=60
S1059: N=20, L=20, pop=60
S1063: N=20, L=20, pop=60
S1067: N=20, L=20, pop=60
S1068: N=20, L=20, pop=60
S1072: N=20, L=20, pop=60
S1074: N=20, L=20, pop=60
S1077: N=20, L=20, pop=60
S1083: N=20, L=20, pop=60
S1084: N=20, L=20, pop=60
S1093: N=20, L=20, pop=60
S1100: N=20, L=20, pop=60
S1108: N=20, L=20, pop=60
S1110: N=20, L=20, pop=60
S1112: N=20, L=20, pop=60
S1113: N=20, L=20, pop=60
S1123: N=20, L=20, pop=60
S1124: N=20, L=20, pop=60
S1132: N=20, L=20, pop=60
S1138: N=20, L=20, pop=60
S1146: N=20, L=20, pop=60
S1154: N=20, L=20, pop=60
S1159: N=20, L=20, pop=60
S1168: N=20, L=20, pop=60
S1175: N=20, L=20, pop=60
S1176: N=20, L=20, pop=60
S1184: N=20, L=20, pop=60
S1187: N=20, L=20, pop=60
S1191: N=20, L=20, pop=60
S1196: N=20, L=20, pop=60
S1204: N=20, L=20, pop=60
S1214: N=20, L=20, pop=60
S1221: N=20, L=20, pop=60
S1225: N=20, L=20, pop=60
S1233: N=20, L=20, pop=60
S1234: N=20, L=20, pop=60
S1236: N=20, L=20, pop=60
S1246: N=20, L=20, pop=60
S1252: N=20, L=20, pop=60
S1256: N=20, L=20, pop=60
S1260: N=20, L=20, pop=60
S1261: N=20, L=20, pop=60
S1263: N=20, L=20, pop=60
S1269: N=20, L=20, pop=60
S1277: N=20, L=20, pop=60
S1286: N=20, L=20, pop=60
S1292: N=20, L=20, pop=60
S1299: N=20, L=20, pop=60
S1304: N=20, L=20, pop=60
S1306: N=20, L=20, pop=60
S1316: N=20, L=20, pop=60
S1321: N=20, L=20, pop=60
S1328: N=20, L=20, pop=60
S1330: N=20, L=20, pop=60
S1339: N=20, L=20, pop=60
S1343: N=20, L=20, pop=60
S1351: N=20, L=20, pop=60
S1353: N=20, L=20, pop=60
S1357: N=20, L=20, pop=60
S1358: N=20, L=20, pop=60
S1360: N=20, L=20, pop=60
S1364: N=20, L=20, pop=60
S1372: N=20, L=20, pop=60
S1379: N=20, L=20, pop=60
S1383: N=20, L=20, pop=60
S1384: N=20, L=20, pop=60
S1393: N=20, L=20, pop=60
S1401: N=20, L=20, pop=60
S1405: N=20, L=20, pop=60
S1415: N=20, L=20, pop=60
S1424: N=20, L=20, pop=60
S1425: N=20, L=20, pop=60
S1435: N=20, L=20, pop=60
S1437: N=20, L=20, pop=60
S1445: N=20, L=20, pop=60
S1455: N=20, L=20, pop=60
S1458: N=20, L=20, pop=60
S1459: N=20, L=20, pop=60
S1468: N=20, L=20, pop=60
S1470: N=20, L=20, pop=60
S1476: N=20, L=20, pop=60
S1480: N=20, L=20, pop=60
S1488: N=20, L=20, pop=60
S1498: N=20, L=20, pop=60
S1505: N=20, L=20, pop=60
S1508: N=20, L=20, pop=60
S1512: N=20, L=20, pop=60
S1514: N=20, L=20, pop=60
S1518: N=20, L=20, pop=60
S1521: N=20, L=20, pop=60
S1527: N=20, L=20, pop=60
S1533: N=20, L=20, pop=60
S1538: N=20, L=20, pop=60
S1543: N=20, L=20, pop=60
S1546: N=20, L=20, pop=60
S1553: N=20, L=20, pop=60
S1558: N=20, L=20, pop=60
S1561: N=20, L=20, pop=60
S1570: N=20, L=20, pop=60
S1571: N=20, L=20, pop=60
S1576: N=20, L=20, pop=60
S1581: N=20, L=20, pop=60
S1591: N=20, L=20, pop=60
S1595: N=20, L=20, pop=60
S1596: N=20, L=20, pop=60
S1597: N=20, L=20, pop=60
S1600: N=20, L=20, pop=60
S1602: N=20, L=20, pop=60
S1607: N=20, L=20, pop=60
S1610: N=20, L=20, pop=60
S1619: N=20, L=20, pop=60
S1621: N=20, L=20, pop=60
S1627: N=20, L=20, pop=60
S1634: N=20, L=20, pop=60
S1643: N=20, L=20, pop=60
S1648: N=20, L=20, pop=60
S1653: N=20, L=20, pop=60
S1659: N=20, L=20, pop=60
S1663: N=20, L=20, pop=60
S1667: N=20, L=20, pop=60
S1672: N=20, L=20, pop=60
S1682: N=20, L=20, pop=60
S1684: N=20, L=20, pop=60
S1687: N=20, L=20, pop=60
S1697: N=20, L=20, pop=60
S1701: N=20, L=20, pop=60
S1703: N=20, L=20, pop=60
S1712: N=20, L=20, pop=60
S1716: N=20, L=20, pop=60
S1726: N=20, L=20, pop=60
S1730: N=20, L=20, pop=60
S1738: N=20, L=20, pop=60
S1745: N=20, L=20, pop=60
S1755: N=20, L=20, pop=60
S1765: N=20, L=20, pop=60
S1766: N=20, L=20, pop=60
S1771: N=20, L=20, pop=60
S1773: N=20, L=20, pop=60
S1775: N=20, L=20, pop=60
S1785: N=20, L=20, pop=60
S1792: N=20, L=20, pop=60
S1797: N=20, L=20, pop=60
S1802: N=20, L=20, pop=60
S1806: N=20, L=20, pop=60
S1807: N=20, L=20, pop=60
S1811: N=20, L=20, pop=60
S1816: N=20, L=20, pop=60
S1820: N=20, L=20, pop=60
S1822: N=20, L=20, pop=60
S1827: N=20, L=20, pop=60
S1830: N=20, L=20, pop=60
S1831: N=20, L=20, pop=60
S1837: N=20, L=20, pop=60
S1846: N=20, L=20, pop=60
S1856: N=20, L=20, pop=60
S1859: N=20, L=20, pop=60
S1860: N=20, L=20, pop=60
S1869: N=20, L=20, pop=60
S1874: N=20, L=20, pop=60
S1881: N=20, L=20, pop=60
S1887: N=20, L=20, pop=60
S1889: N=20, L=20, pop=60
S1896: N=20, L=20, pop=60
S1902: N=20, L=20, pop=60
S1903: N=20, L=20, pop=60
S1908: N=20, L=20, pop=60
S1917: N=20, L=20, pop=60
S1926: N=20, L=20, pop=60
S1930: N=20, L=20, pop=60
S1938: N=20, L=20, pop=60
S1944: N=20, L=20, pop=60
S1952: N=20, L=20, pop=60
S1962: N=20, L=20, pop=60
S1968: N=20, L=20, pop=60
S1975: N=20, L=20, pop=60
S1976: N=20, L=20, pop=60
S1981: N=20, L=20, pop=60
S1988: N=20, L=20, pop=60
S1991: N=20, L=20, pop=60
S1993: N=20, L=20, pop=60
S2003: N=20, L=20, pop=60
S2005: N=20, L=20, pop=60
S2011: N=20, L=20, pop=60
S2019: N=20, L=20, pop=60
S2029: N=20, L=20, pop=60
S2033: N=20, L=20, pop=60
S2035: N=20, L=20, pop=60
S2042: N=20, L=20, pop=60
S2044: N=20, L=20, pop=60
S2046: N=20, L=20, pop=60
S2055: N=20, L=20, pop=60
S2063: N=20, L=20, pop=60
S2067: N=20, L=20, pop=60
S2077: N=20, L=20, pop=60
S2085: N=20, L=20, pop=60
S2094: N=20, L=20, pop=60
S2103: N=20, L=20, pop=60
S2106: N=20, L=20, pop=60
S2116: N=20, L=20, pop=60
S2121: N=20, L=20, pop=60
S2123: N=20, L=20, pop=60
S2129: N=20, L=20, pop=60
S2133: N=20, L=20, pop=60
S2140: N=20, L=20, pop=60
S2147: N=20, L=20, pop=60
S2156: N=20, L=20, pop=60
S2165: N=20, L=20, pop=60
S2166: N=20, L=20, pop=60
S2173: N=20, L=20, pop=60
S2176: N=20, L=20, pop=60
S2186: N=20, L=20, pop=60
S2195: N=20, L=20, pop=60
S2202: N=20, L=20, pop=60
S2208: N=20, L=20, pop=60
S2217: N=20, L=20, pop=60
S2226: N=20, L=20, pop=60
S2235: N=20, L=20, pop=60
S2239: N=20, L=20, pop=60
S2240: N=20, L=20, pop=60
S2241: N=20, L=20, pop=60
S2245: N=20, L=20, pop=60
S2248: N=20, L=20, pop=60
S2250: N=20, L=20, pop=60
S2252: N=20, L=20, pop=60
S2257: N=20, L=20, pop=60
S2261: N=20, L=20, pop=60
S2264: N=20, L=20, pop=60
S2271: N=20, L=20, pop=60
S2279: N=20, L=20, pop=60
S2286: N=20, L=20, pop=60
S2295: N=20, L=20, pop=60
S2303: N=20, L=20, pop=60
S2308: N=20, L=20, pop=60
S2313: N=20, L=20, pop=60
S2319: N=20, L=20, pop=60
S2329: N=20, L=20, pop=60
S2336: N=20, L=20, pop=60
S2338: N=20, L=20, pop=60
S2339: N=20, L=20, pop=60
S2348: N=20, L=20, pop=60
S2349: N=20, L=20, pop=60
S2359: N=20, L=20, pop=60
S2363: N=20, L=20, pop=60
S2366: N=20, L=20, pop=60
S2370: N=20, L=20, pop=60
S2376: N=20, L=20, pop=60
S2377: N=20, L=20, pop=60
S2380: N=20, L=20, pop=60
S2384: N=20, L=20, pop=60
S2388: N=20, L=20, pop=60
S2392: N=20, L=20, pop=60
S2396: N=20, L=20, pop=60
S2399: N=20, L=20, pop=60
S2401: N=20, L=20, pop=60
S2409: N=20, L=20, pop=60
S2419: N=20, L=20, pop=60
S2429: N=20, L=20, pop=60
S2432: N=20, L=20, pop=60
S2442: N=20, L=20, pop=60
S2450: N=20, L=20, pop=60
S2456: N=20, L=20, pop=60
S2461: N=20, L=20, pop=60
S2464: N=20, L=20, pop=60
S2471: N=20, L=20, pop=60
S2472: N=20, L=20, pop=60
S2477: N=20, L=20, pop=60
S2483: N=20, L=20, pop=60
S2485: N=20, L=20, pop=60
S2490: N=20, L=20, pop=60
S2492: N=20, L=20, pop=60
S2495: N=20, L=20, pop=60
S2498: N=20, L=20, pop=60
S2502: N=20, L=20, pop=60
S2512: N=20, L=20, pop=60
S2519: N=20, L=20, pop=60
S2529: N=20, L=20, pop=60
S2535: N=20, L=20, pop=60
S2540: N=20, L=20, pop=60
S2541: N=20, L=20, pop=60
S2548: N=20, L=20, pop=60
S2556: N=20, L=20, pop=60
S2564: N=20, L=20, pop=60
S2572: N=20, L=20, pop=60
S2574: N=20, L=20, pop=60
S2584: N=20, L=20, pop=60
S2590: N=20, L=20, pop=60
S2594: N=20, L=20, pop=60
S2601: N=20, L=20, pop=60
S2605: N=20, L=20, pop=60
S2614: N=20, L=20, pop=60
S2618: N=20, L=20, pop=60
S2619: N=20, L=20, pop=60
S2622: N=20, L=20, pop=60
S2624: N=20, L=20, pop=60
S6: N=28, L=25, pop=78
S15: N=29, L=22, pop=73
S18: N=21, L=27, pop=75
S22: N=26, L=24, pop=74
S30: N=26, L=16, pop=58
S33: N=16, L=20, pop=56
S38: N=19, L=20, pop=59
S39: N=16, L=25, pop=66
S44: N=17, L=23, pop=63
S50: N=27, L=18, pop=63
S58: N=18, L=27, pop=72
S67: N=29, L=24, pop=77
S70: N=23, L=19, pop=61
S77: N=25, L=30, pop=85
S87: N=27, L=19, pop=65
S90: N=30, L=25, pop=80
S93: N=18, L=19, pop=56
S94: N=20, L=29, pop=78
S98: N=30, L=16, pop=62
S103: N=25, L=26, pop=77
S107: N=30, L=26, pop=82
S115: N=28, L=24, pop=76
S118: N=22, L=17, pop=56
S128: N=16, L=25, pop=66
S129: N=15, L=29, pop=73
S134: N=21, L=24, pop=69
S143: N=18, L=29, pop=76
S151: N=25, L=19, pop=63
S152: N=26, L=28, pop=82
S158: N=30, L=24, pop=78
S164: N=25, L=26, pop=77
S168: N=22, L=22, pop=66
S169: N=22, L=17, pop=56
S175: N=28, L=30, pop=88
S176: N=26, L=29, pop=84
S179: N=24, L=16, pop=56
S186: N=21, L=18, pop=57
S187: N=25, L=15, pop=55
S193: N=20, L=26, pop=72
S202: N=17, L=28, pop=73
S209: N=30, L=19, pop=68
S218: N=20, L=28, pop=76
S227: N=16, L=24, pop=64
S234: N=25, L=19, pop=63
S241: N=26, L=28, pop=82
S249: N=26, L=18, pop=62
S253: N=27, L=26, pop=79
S263: N=20, L=24, pop=68
S273: N=15, L=20, pop=55
S278: N=16, L=27, pop=70
S282: N=15, L=25, pop=65
S286: N=28, L=18, pop=64
S287: N=26, L=15, pop=56
S293: N=26, L=28, pop=82
S301: N=27, L=20, pop=67
S303: N=23, L=26, pop=75
S304: N=20, L=25, pop=70
S305: N=15, L=18, pop=51
S308: N=18, L=19, pop=56
S316: N=21, L=15, pop=51
S321: N=21, L=18, pop=57
S329: N=26, L=16, pop=58
S335: N=28, L=27, pop=82
S336: N=18, L=25, pop=68
S339: N=18, L=29, pop=76
S343: N=23, L=28, pop=79
S352: N=18, L=21, pop=60
S356: N=28, L=22, pop=72
S362: N=27, L=21, pop=69
S369: N=27, L=30, pop=87
S378: N=29, L=23, pop=75
S384: N=25, L=18, pop=61
S385: N=29, L=30, pop=89
S387: N=26, L=15, pop=56
S397: N=24, L=27, pop=78
S402: N=20, L=20, pop=60
S406: N=22, L=24, pop=70
S411: N=25, L=24, pop=73
S414: N=20, L=28, pop=76
S420: N=27, L=21, pop=69
S428: N=28, L=21, pop=70
S435: N=23, L=28, pop=79
S441: N=27, L=23, pop=73
S447: N=23, L=18, pop=59
S448: N=18, L=15, pop=48
S458: N=20, L=30, pop=80
S465: N=24, L=27, pop=78
S472: N=29, L=25, pop=79
S480: N=25, L=29, pop=83
S484: N=30, L=28, pop=86
S486: N=28, L=27, pop=82
S493: N=20, L=24, pop=68
S502: N=16, L=23, pop=62
S507: N=15, L=26, pop=67
S516: N=18, L=24, pop=66
S520: N=26, L=25, pop=76
S527: N=24, L=20, pop=64
S529: N=22, L=16, pop=54
S539: N=24, L=26, pop=76
S540: N=27, L=15, pop=57
S545: N=19, L=20, pop=59
S553: N=16, L=28, pop=72
S563: N=24, L=17, pop=58
S569: N=19, L=19, pop=57
S570: N=26, L=29, pop=84
S576: N=23, L=16, pop=55
S578: N=18, L=19, pop=56
S588: N=30, L=28, pop=86
S595: N=25, L=27, pop=79
S603: N=19, L=16, pop=51
S610: N=25, L=27, pop=79
S612: N=26, L=15, pop=56
S620: N=29, L=25, pop=79
S625: N=30, L=22, pop=74
S627: N=19, L=28, pop=75
S629: N=24, L=26, pop=76
S633: N=25, L=15, pop=55
S635: N=29, L=27, pop=83
S644: N=21, L=25, pop=71
S645: N=23, L=23, pop=69
S655: N=19, L=20, pop=59
S660: N=18, L=23, pop=64
S662: N=22, L=21, pop=64
S672: N=18, L=19, pop=56
S682: N=27, L=29, pop=85
S685: N=17, L=28, pop=73
S695: N=23, L=26, pop=75
S696: N=27, L=24, pop=75
S700: N=26, L=16, pop=58
S708: N=28, L=24, pop=76
S710: N=28, L=24, pop=76
S718: N=19, L=23, pop=65
S721: N=18, L=22, pop=62
S723: N=30, L=22, pop=74
S731: N=24, L=27, pop=78
S732: N=25, L=24, pop=73
S740: N=25, L=20, pop=65
S748: N=17, L=22, pop=61
S751: N=15, L=26, pop=67
S752: N=22, L=21, pop=64
S761: N=18, L=19, pop=56
S770: N=15, L=20, pop=55
S774: N=24, L=24, pop=72
S779: N=23, L=19, pop=61
S788: N=28, L=18, pop=64
S795: N=27, L=25, pop=77
S804: N=20, L=29, pop=78
S809: N=19, L=18, pop=55
S812: N=26, L=30, pop=86
S817: N=21, L=17, pop=55
S821: N=25, L=25, pop=75
S822: N=17, L=21, pop=59
S827: N=20, L=20, pop=60
S828: N=24, L=24, pop=72
S830: N=24, L=19, pop=62
S837: N=22, L=20, pop=62
S843: N=22, L=18, pop=58
S849: N=21, L=22, pop=65
S854: N=21, L=22, pop=65
S855: N=28, L=18, pop=64
S856: N=15, L=22, pop=59
S863: N=16, L=25, pop=66
S865: N=29, L=20, pop=69
S869: N=26, L=27, pop=80
S875: N=30, L=23, pop=76
S883: N=20, L=30, pop=80
S890: N=17, L=22, pop=61
S898: N=27, L=22, pop=71
S901: N=18, L=30, pop=78
S906: N=16, L=22, pop=60
S910: N=27, L=26, pop=79
S915: N=18, L=24, pop=66
S916: N=16, L=16, pop=48
S922: N=19, L=23, pop=65
S930: N=26, L=28, pop=82
S936: N=19, L=28, pop=75
S943: N=15, L=21, pop=57
S947: N=28, L=30, pop=88
S950: N=25, L=25, pop=75
S953: N=17, L=25, pop=67
S958: N=26, L=16, pop=58
S965: N=15, L=20, pop=55
S975: N=23, L=23, pop=69
S980: N=28, L=30, pop=88
S981: N=20, L=29, pop=78
S984: N=15, L=24, pop=63
S985: N=18, L=28, pop=74
S990: N=30, L=16, pop=62
S1000: N=30, L=17, pop=64
S1008: N=29, L=29, pop=87
S1010: N=20, L=17, pop=54
S1012: N=23, L=20, pop=63
S1018: N=25, L=29, pop=83
S1025: N=27, L=28, pop=83
S1028: N=30, L=18, pop=66
S1029: N=30, L=26, pop=82
S1039: N=26, L=22, pop=70
S1040: N=16, L=21, pop=58
S1041: N=16, L=17, pop=50
S1048: N=25, L=26, pop=77
S1049: N=26, L=24, pop=74
S1050: N=16, L=16, pop=48
S1059: N=29, L=17, pop=63
S1063: N=19, L=19, pop=57
S1067: N=29, L=15, pop=59
S1068: N=21, L=25, pop=71
S1072: N=24, L=29, pop=82
S1074: N=26, L=27, pop=80
S1077: N=25, L=19, pop=63
S1083: N=25, L=21, pop=67
S1084: N=17, L=30, pop=77
S1093: N=23, L=27, pop=77
S1100: N=23, L=23, pop=69
S1108: N=23, L=17, pop=57
S1110: N=30, L=28, pop=86
S1112: N=21, L=22, pop=65
S1113: N=27, L=22, pop=71
S1123: N=28, L=25, pop=78
S1124: N=19, L=29, pop=77
S1132: N=21, L=17, pop=55
S1138: N=21, L=22, pop=65
S1146: N=27, L=23, pop=73
S1154: N=26, L=20, pop=66
S1159: N=28, L=16, pop=60
S1168: N=26, L=27, pop=80
S1175: N=28, L=23, pop=74
S1176: N=24, L=19, pop=62
S1184: N=28, L=24, pop=76
S1187: N=26, L=30, pop=86
S1191: N=21, L=15, pop=51
S1196: N=29, L=17, pop=63
S1204: N=26, L=15, pop=56
S1214: N=22, L=28, pop=78
S1221: N=21, L=23, pop=67
S1225: N=28, L=27, pop=82
S1233: N=20, L=18, pop=56
S1234: N=15, L=29, pop=73
S1236: N=24, L=21, pop=66
S1246: N=20, L=21, pop=62
S1252: N=24, L=29, pop=82
S1256: N=29, L=21, pop=71
S1260: N=17, L=30, pop=77
S1261: N=22, L=28, pop=78
S1263: N=25, L=25, pop=75
S1269: N=22, L=26, pop=74
S1277: N=21, L=27, pop=75
S1286: N=24, L=15, pop=54
S1292: N=25, L=22, pop=69
S1299: N=29, L=17, pop=63
S1304: N=15, L=22, pop=59
S1306: N=16, L=21, pop=58
S1316: N=25, L=20, pop=65
S1321: N=18, L=20, pop=58
S1328: N=18, L=24, pop=66
S1330: N=15, L=19, pop=53
S1339: N=23, L=25, pop=73
S1343: N=28, L=18, pop=64
S1351: N=17, L=17, pop=51
S1353: N=29, L=23, pop=75
S1357: N=19, L=28, pop=75
S1358: N=22, L=24, pop=70
S1360: N=28, L=25, pop=78
S1364: N=27, L=26, pop=79
S1372: N=27, L=26, pop=79
S1379: N=25, L=18, pop=61
S1383: N=21, L=28, pop=77
S1384: N=29, L=17, pop=63
S1393: N=28, L=24, pop=76
S1401: N=23, L=29, pop=81
S1405: N=18, L=29, pop=76
S1415: N=27, L=15, pop=57
S1424: N=15, L=23, pop=61
S1425: N=30, L=17, pop=64
S1435: N=24, L=18, pop=60
S1437: N=22, L=18, pop=58
S1445: N=27, L=25, pop=77
S1455: N=25, L=25, pop=75
S1458: N=22, L=24, pop=70
S1459: N=20, L=24, pop=68
S1468: N=16, L=16, pop=48
S1470: N=15, L=26, pop=67
S1476: N=16, L=17, pop=50
S1480: N=24, L=18, pop=60
S1488: N=24, L=15, pop=54
S1498: N=15, L=21, pop=57
S1505: N=19, L=23, pop=65
S1508: N=24, L=16, pop=56
S1512: N=20, L=30, pop=80
S1514: N=29, L=28, pop=85
S1518: N=21, L=17, pop=55
S1521: N=15, L=30, pop=75
S1527: N=18, L=28, pop=74
S1533: N=15, L=22, pop=59
S1538: N=18, L=15, pop=48
S1543: N=25, L=27, pop=79
S1546: N=25, L=22, pop=69
S1553: N=21, L=15, pop=51
S1558: N=20, L=17, pop=54
S1561: N=17, L=25, pop=67
S1570: N=23, L=18, pop=59
S1571: N=27, L=25, pop=77
S1576: N=21, L=25, pop=71
S1581: N=19, L=19, pop=57
S1591: N=25, L=20, pop=65
S1595: N=30, L=18, pop=66
S1596: N=15, L=23, pop=61
S1597: N=26, L=22, pop=70
S1600: N=25, L=15, pop=55
S1602: N=30, L=21, pop=72
S1607: N=22, L=21, pop=64
S1610: N=17, L=26, pop=69
S1619: N=30, L=27, pop=84
S1621: N=28, L=19, pop=66
S1627: N=24, L=29, pop=82
S1634: N=26, L=19, pop=64
S1643: N=30, L=17, pop=64
S1648: N=22, L=22, pop=66
S1653: N=23, L=22, pop=67
S1659: N=30, L=26, pop=82
S1663: N=21, L=16, pop=53
S1667: N=25, L=26, pop=77
S1672: N=22, L=15, pop=52
S1682: N=26, L=22, pop=70
S1684: N=20, L=28, pop=76
S1687: N=21, L=26, pop=73
S1697: N=26, L=21, pop=68
S1701: N=17, L=21, pop=59
S1703: N=17, L=24, pop=65
S1712: N=23, L=24, pop=71
S1716: N=18, L=29, pop=76
S1726: N=21, L=20, pop=61
S1730: N=17, L=20, pop=57
S1738: N=22, L=28, pop=78
S1745: N=20, L=22, pop=64
S1755: N=18, L=30, pop=78
S6: N=24, L=34, pop=92
S15: N=24, L=28, pop=80
S18: N=22, L=35, pop=92
S22: N=21, L=32, pop=85
S30: N=28, L=19, pop=66
S33: N=25, L=26, pop=77
S38: N=27, L=16, pop=59
S39: N=22, L=30, pop=82
S44: N=22, L=23, pop=68
S50: N=32, L=18, pop=68
S58: N=15, L=26, pop=67
S67: N=37, L=28, pop=93
S70: N=19, L=21, pop=61
S77: N=21, L=31, pop=83
S87: N=24, L=24, pop=72
