S10: N=20, L=20, pop=60
S648: N=20, L=20, pop=60
S654: N=20, L=20, pop=60
S656: N=20, L=20, pop=60
S665: N=20, L=20, pop=60
S670: N=20, L=20, pop=60
S675: N=20, L=20, pop=60
S682: N=20, L=20, pop=60
S691: N=20, L=20, pop=60
S693: N=20, L=20, pop=60
S696: N=20, L=20, pop=60
S705: N=20, L=20, pop=60
S707: N=20, L=20, pop=60
S712: N=20, L=20, pop=60
S716: N=20, L=20, pop=60
S717: N=20, L=20, pop=60
S724: N=20, L=20, pop=60
S731: N=20, L=20, pop=60
S736: N=20, L=20, pop=60
S737: N=20, L=20, pop=60
S739: N=20, L=20, pop=60
S744: N=20, L=20, pop=60
S746: N=20, L=20, pop=60
S747: N=20, L=20, pop=60
S757: N=20, L=20, pop=60
S759: N=20, L=20, pop=60
S767: N=20, L=20, pop=60
S775: N=20, L=20, pop=60
S783: N=20, L=20, pop=60
S785: N=20, L=20, pop=60
S786: N=20, L=20, pop=60
S794: N=20, L=20, pop=60
S804: N=20, L=20, pop=60
S813: N=20, L=20, pop=60
S819: N=20, L=20, pop=60
S822: N=20, L=20, pop=60
S823: N=20, L=20, pop=60
S825: N=20, L=20, pop=60
S832: N=20, L=20, pop=60
S833: N=20, L=20, pop=60
S841: N=20, L=20, pop=60
S849: N=20, L=20, pop=60
S854: N=20, L=20, pop=60
S860: N=20, L=20, pop=60
S864: N=20, L=20, pop=60
S865: N=20, L=20, pop=60
S869: N=20, L=20, pop=60
S872: N=20, L=20, pop=60
S882: N=20, L=20, pop=60
S886: N=20, L=20, pop=60
S891: N=20, L=20, pop=60
S896: N=20, L=20, pop=60
S901: N=20, L=20, pop=60
S903: N=20, L=20, pop=60
S908: N=20, L=20, pop=60
S916: N=20, L=20, pop=60
S924: N=20, L=20, pop=60
S926: N=20, L=20, pop=60
S933: N=20, L=20, pop=60
S943: N=20, L=20, pop=60
S944: N=20, L=20, pop=60
S954: N=20, L=20, pop=60
S962: N=20, L=20, pop=60
S963: N=20, L=20, pop=60
S970: N=20, L=20, pop=60
S973: N=20, L=20, pop=60
S977: N=20, L=20, pop=60
S987: N=20, L=20, pop=60
S997: N=20, L=20, pop=60
S1005: N=20, L=20, pop=60
S1010: N=20, L=20, pop=60
S1015: N=20, L=20, pop=60
S1019: N=20, L=20, pop=60
S1020: N=20, L=20, pop=60
S1022: N=20, L=20, pop=60
S1031: N=20, L=20, pop=60
S1033: N=20, L=20, pop=60
S1034: N=20, L=20, pop=60
S1044: N=20, L=20, pop=60
S1052: N=20, L=20, pop=60
S1060: N=20, L=20, pop=60
S1065: N=20, L=20, pop=60
S1068: N=20, L=20, pop=60
S1069: N=20, L=20, pop=60
S1076: N=20, L=20, pop=60
S1086: N=20, L=20, pop=60
S1090: N=20, L=20, pop=60
S1095: N=20, L=20, pop=60
S1100: N=20, L=20, pop=60
S1101: N=20, L=20, pop=60
S1104: N=20, L=20, pop=60
S1107: N=20, L=20, pop=60
S1111: N=20, L=20, pop=60
S1115: N=20, L=20, pop=60
S1123: N=20, L=20, pop=60
S1131: N=20, L=20, pop=60
S1141: N=20, L=20, pop=60
S1151: N=20, L=20, pop=60
S1152: N=20, L=20, pop=60
S1158: N=20, L=20, pop=60
S1165: N=20, L=20, pop=60
S1171: N=20, L=20, pop=60
S1174: N=20, L=20, pop=60
S1180: N=20, L=20, pop=60
S1190: N=20, L=20, pop=60
S1196: N=20, L=20, pop=60
S1199: N=20, L=20, pop=60
S1207: N=20, L=20, pop=60
S1217: N=20, L=20, pop=60
S1221: N=20, L=20, pop=60
S1231: N=20, L=20, pop=60
S1239: N=20, L=20, pop=60
S1241: N=20, L=20, pop=60
S1248: N=20, L=20, pop=60
S1257: N=20, L=20, pop=60
S1264: N=20, L=20, pop=60
S1268: N=20, L=20, pop=60
S1272: N=20, L=20, pop=60
S1281: N=20, L=20, pop=60
S1287: N=20, L=20, pop=60
S1290: N=20, L=20, pop=60
S1291: N=20, L=20, pop=60
S1298: N=20, L=20, pop=60
S1301: N=20, L=20, pop=60
S1304: N=20, L=20, pop=60
S1307: N=20, L=20, pop=60
S1314: N=20, L=20, pop=60
S1320: N=20, L=20, pop=60
S1326: N=20, L=20, pop=60
S1335: N=20, L=20, pop=60
S1345: N=20, L=20, pop=60
S1347: N=20, L=20, pop=60
S1354: N=20, L=20, pop=60
S1360: N=20, L=20, pop=60
S1366: N=20, L=20, pop=60
S1370: N=20, L=20, pop=60
S1375: N=20, L=20, pop=60
S1379: N=20, L=20, pop=60
S1384: N=20, L=20, pop=60
S1393: N=20, L=20, pop=60
S1395: N=20, L=20, pop=60
S1404: N=20, L=20, pop=60
S1413: N=20, L=20, pop=60
S1415: N=20, L=20, pop=60
S1419: N=20, L=20, pop=60
S1423: N=20, L=20, pop=60
S1431: N=20, L=20, pop=60
S1438: N=20, L=20, pop=60
S1439: N=20, L=20, pop=60
S1444: N=20, L=20, pop=60
S1453: N=20, L=20, pop=60
S1459: N=20, L=20, pop=60
S1462: N=20, L=20, pop=60
S1472: N=20, L=20, pop=60
S1477: N=20, L=20, pop=60
S1482: N=20, L=20, pop=60
S1490: N=20, L=20, pop=60
S1499: N=20, L=20, pop=60
S1508: N=20, L=20, pop=60
S1512: N=20, L=20, pop=60
S1515: N=20, L=20, pop=60
S1525: N=20, L=20, pop=60
S1526: N=20, L=20, pop=60
S1530: N=20, L=20, pop=60
S1534: N=20, L=20, pop=60
S1536: N=20, L=20, pop=60
S1540: N=20, L=20, pop=60
S1547: N=20, L=20, pop=60
S1556: N=20, L=20, pop=60
S1557: N=20, L=20, pop=60
S1561: N=20, L=20, pop=60
S1564: N=20, L=20, pop=60
S1570: N=20, L=20, pop=60
S1579: N=20, L=20, pop=60
S1585: N=20, L=20, pop=60
S1586: N=20, L=20, pop=60
S1593: N=20, L=20, pop=60
S1600: N=20, L=20, pop=60
S1603: N=20, L=20, pop=60
S1607: N=20, L=20, pop=60
S1615: N=20, L=20, pop=60
S1618: N=20, L=20, pop=60
S1623: N=20, L=20, pop=60
S1628: N=20, L=20, pop=60
S1637: N=20, L=20, pop=60
S1639: N=20, L=20, pop=60
S1647: N=20, L=20, pop=60
S1655: N=20, L=20, pop=60
S1658: N=20, L=20, pop=60
S1665: N=20, L=20, pop=60
S1670: N=20, L=20, pop=60
S1679: N=20, L=20, pop=60
S1689: N=20, L=20, pop=60
S1696: N=20, L=20, pop=60
S1703: N=20, L=20, pop=60
S1712: N=20, L=20, pop=60
S1722: N=20, L=20, pop=60
S1723: N=20, L=20, pop=60
S1729: N=20, L=20, pop=60
S1738: N=20, L=20, pop=60
S1744: N=20, L=20, pop=60
S1749: N=20, L=20, pop=60
S1753: N=20, L=20, pop=60
S1761: N=20, L=20, pop=60
S1768: N=20, L=20, pop=60
S1774: N=20, L=20, pop=60
S1783: N=20, L=20, pop=60
S1789: N=20, L=20, pop=60
S1795: N=20, L=20, pop=60
S1803: N=20, L=20, pop=60
S1812: N=20, L=20, pop=60
S1814: N=20, L=20, pop=60
S1818: N=20, L=20, pop=60
S1824: N=20, L=20, pop=60
S1830: N=20, L=20, pop=60
S1831: N=20, L=20, pop=60
S1835: N=20, L=20, pop=60
S1844: N=20, L=20, pop=60
S1853: N=20, L=20, pop=60
S1863: N=20, L=20, pop=60
S1868: N=20, L=20, pop=60
S1869: N=20, L=20, pop=60
S1878: N=20, L=20, pop=60
S1882: N=20, L=20, pop=60
S1883: N=20, L=20, pop=60
S1891: N=20, L=20, pop=60
S1897: N=20, L=20, pop=60
S1900: N=20, L=20, pop=60
S1910: N=20, L=20, pop=60
S1914: N=20, L=20, pop=60
S1916: N=20, L=20, pop=60
S1921: N=20, L=20, pop=60
S1928: N=20, L=20, pop=60
S1934: N=20, L=20, pop=60
S1940: N=20, L=20, pop=60
S1942: N=20, L=20, pop=60
S1951: N=20, L=20, pop=60
S1953: N=20, L=20, pop=60
S1961: N=20, L=20, pop=60
S1967: N=20, L=20, pop=60
S1974: N=20, L=20, pop=60
S1983: N=20, L=20, pop=60
S1986: N=20, L=20, pop=60
S1989: N=20, L=20, pop=60
S1992: N=20, L=20, pop=60
S1998: N=20, L=20, pop=60
S2005: N=20, L=20, pop=60
S2011: N=20, L=20, pop=60
S2015: N=20, L=20, pop=60
S2019: N=20, L=20, pop=60
S2025: N=20, L=20, pop=60
S2026: N=20, L=20, pop=60
S2033: N=20, L=20, pop=60
S2040: N=20, L=20, pop=60
S2048: N=20, L=20, pop=60
S2053: N=20, L=20, pop=60
S2055: N=20, L=20, pop=60
S2056: N=20, L=20, pop=60
S2059: N=20, L=20, pop=60
S2064: N=20, L=20, pop=60
S2065: N=20, L=20, pop=60
S2073: N=20, L=20, pop=60
S2082: N=20, L=20, pop=60
S2085: N=20, L=20, pop=60
S2091: N=20, L=20, pop=60
S2096: N=20, L=20, pop=60
S2102: N=20, L=20, pop=60
S2107: N=20, L=20, pop=60
S2112: N=20, L=20, pop=60
S2116: N=20, L=20, pop=60
S2119: N=20, L=20, pop=60
S2128: N=20, L=20, pop=60
S2138: N=20, L=20, pop=60
S2139: N=20, L=20, pop=60
S2147: N=20, L=20, pop=60
S2150: N=20, L=20, pop=60
S2160: N=20, L=20, pop=60
S2169: N=20, L=20, pop=60
S2175: N=20, L=20, pop=60
S2184: N=20, L=20, pop=60
S2188: N=20, L=20, pop=60
S2196: N=20, L=20, pop=60
S2199: N=20, L=20, pop=60
S2209: N=20, L=20, pop=60
1: S2209, pop=60
2: S2199, pop=60
3: S2196, pop=60
min 60, max 60
